"228",2013-11-09,92448,124929,252483,237793,354594,350850,211048
"229",2013-11-16,96553,105451,126801,232102,241485,358338,212224.333333333
"230",2013-11-23,109900,123938,214408,216869,389079,359535,215062
"231",2013-11-30,109900,127776,217638,361400,377752,360901,210804.5
"232",2013-12-07,109900,127430,222386,348712,361400,349547,211171
"233",2013-12-14,109900,127864,125916,221464,338170,266950,203837
"234",2013-12-21,136321,218473,277341,266950,266950,354000,201609
"235",2013-12-28,138641,218193,218400,281088,277728,281088,206910
"236",2014-01-04,136597,218585,221152,325341,266950,266950,211237.5
"237",2014-01-11,135535,132947,231140,223766,362386,268425,219089
"238",2014-01-18,134436,134811,232370,227152,372760,269900,223209
"239",2014-01-25,134916,132573,220624,225871,372760,269900,216105
"240",2014-02-01,110000,125905,130175,210300,214995,372760,202789.666666667
"241",2014-02-08,110000,136070,132363,221842,223037,362064,203422.333333333
"242",2014-02-15,110000,140659,145855,251814,380661,371383,226978
"243",2014-02-22,110000,151685,258717,261333,349607,212824,237980
"244",2014-03-01,102644,90692,155867,149376,246262,247955,239135
"245",2014-03-08,87933,87244,157358,172780,162682,265313,239768.5
"246",2014-03-15,102277,87933,151348,159905,174168,297843,252022
"247",2014-03-22,110000,154532,292281,387245,406093,751390,275925
"248",2014-03-29,80000,162688,267920,279683,393481,380470,276991
"249",2014-04-05,80000,163733,158283,291169,394007,388993,277500.5
"250",2014-04-12,85639,94500,146807,147678,318131,285665,258913.5
"251",2014-04-19,96300,98000,138873,346800,351980,401893,277620.5
"252",2014-04-26,96050,100417,148776,337442,340227,409619,273186.5
"253",2014-05-03,93500,93500,152914,370113,371595,412753,297354.666666667
"254",2014-05-10,91055,94792,146272,350059,350679,404763,279794
"255",2014-05-17,94667,98000,148198,340028,321121,328257,282482
"256",2014-05-24,98000,98000,156849,310079,307054,308400,285969.5
"257",2014-05-31,98000,165272,323192,314958,398137,395681,291882
"258",2014-06-07,89547,171919,318510,323244,333364,417930,288656
"259",2014-06-14,86166,86166,159835,323271,336388,321974,294092.5
"260",2014-06-21,85750,97375,167293,345504,336926,433932,302946
